No,Rank,Gender,Flavor,Juiciness,Tenderness,Umami,Palability,Marbling,Color,Texture,Surface Moisture,Total,Name,2,3,1+,1++
69438,1++,female,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069438.jpg,0,0,0,1
69442,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069442.jpg,0,0,0,1
69457,1++,female,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069457.jpg,0,0,0,1
69462,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069462.jpg,0,0,0,1
69463,1++,female,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069463.jpg,0,0,0,1
69464,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069464.jpg,0,0,0,1
69469,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_069469.jpg,0,0,0,1
69474,1++,steer,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069474.jpg,0,0,0,1
69477,1++,steer,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,QC_cow_segmentation_1++_069477.jpg,0,0,0,1
69480,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069480.jpg,0,0,0,1
69483,1++,female,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069483.jpg,0,0,0,1
69484,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069484.jpg,0,0,0,1
69486,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,QC_cow_segmentation_1++_069486.jpg,0,0,0,1
69490,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,QC_cow_segmentation_1++_069490.jpg,0,0,0,1
69506,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069506.jpg,0,0,0,1
69511,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069511.jpg,0,0,0,1
69516,1++,female,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069516.jpg,0,0,0,1
69533,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069533.jpg,0,0,0,1
69535,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,QC_cow_segmentation_1++_069535.jpg,0,0,0,1
69539,1++,steer,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,QC_cow_segmentation_1++_069539.jpg,0,0,0,1
69546,1++,steer,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,QC_cow_segmentation_1++_069546.jpg,0,0,0,1
69547,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069547.jpg,0,0,0,1
69559,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069559.jpg,0,0,0,1
69563,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,QC_cow_segmentation_1++_069563.jpg,0,0,0,1
69568,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069568.jpg,0,0,0,1
69572,1++,steer,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,QC_cow_segmentation_1++_069572.jpg,0,0,0,1
